threshold,nb_treat_all,nb_treat_none,nb_q_ir,nb_D
0.05,0.14780646445875092,0.0,0.14247788449686635,0.12581896102172202
0.1,0.10046237915090375,0.0,0.10702776276546769,0.07934506295162033
0.15000000000000002,0.047548401453898076,0.0,0.0678415123931035,0.05475431029915117
0.2,-0.011979823455233268,0.0,0.04368582237434697,0.03656998738965951
0.25,-0.07944514501891545,0.0,0.02419984387197502,0.021077283372365342
0.3,-0.15654836966312377,0.0,-0.0018529479887793854,0.011529454152404972
0.35000000000000003,-0.24551362886797948,0.0,-0.0180286296301429,0.0053767165999196245
0.4,-0.34930643127364436,0.0,-0.045397225725094595,0.001381132528673508
0.45,-0.471970652298521,0.0,-0.0709454479946283,0.0006387055567383462
0.5,-0.6191677175283732,0.0,-0.09998198522788687,-0.0005404431633939839
0.55,-0.7990752416981927,0.0,-0.1227206309173523,-0.0008807221921976055
0.6000000000000001,-1.023959646910467,0.0,-0.1619528012970637,-0.002161772653575939
0.6500000000000001,-1.3130967393262483,0.0,-0.18125434284684885,-0.0008235324394575035
0.7000000000000001,-1.6986128625472892,0.0,-0.24464060529634313,-0.0012610340479192956
0.7500000000000001,-2.238335435056748,0.0,-0.25941271842911207,-0.00018014772113132942
0.8,-3.047919293820934,0.0,-0.2695009908124663,0.0007205908845253108
