model,threshold,n,prevalence,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece,threshold_note
q_ir,0.5,5551,0.1904161412358133,0.2101082129646034,0.7096018735362998,0.6712356725818382,0.3494302767227347,0.609271523178808,0.4441379310344827,0.0,0.8095838587641866,0.7159382908947449,0.4157642613672707,0.6913666194932482,3295,1199,413,644,0.7331998219848687,0.3813890483416345,0.0522912504753773,0.2014933562177905,
D,0.5,5551,0.1904161412358133,0.1520183174239053,0.8090434156007926,0.5485061760050929,0.4945054945054945,0.1277199621570482,0.2030075187969924,0.0,0.8095838587641866,0.6327296902545136,0.3247056178016724,0.5069610967320546,4356,138,922,135,0.9692923898531376,0.5674136470421194,0.1006349739759845,0.065343230964655,
q_ir,0.4581116948808942,5551,0.1904161412358133,0.2101082129646034,0.7022158169699153,0.6717389190001679,0.3441422594142259,0.6225165562913907,0.4432468844728865,0.0,0.8095838587641866,0.7159382908947449,0.4157642613672707,0.6913666194932482,3240,1254,399,658,0.7209612817089452,0.3813890483416345,0.0522912504753773,0.2014933562177905,mean_of_D_fold_youden_for_paired_op_point
D,0.45811169488089426,5551,0.19041614123581338,0.1520183174239053,0.8029183930823275,0.5544913453405129,0.4487534626038781,0.1532639545884579,0.22849083215796898,0.0,0.8095838587641866,0.6327296902545136,0.3247056178016724,0.5069610967320546,4295,199,895,162,0.9557187360925679,0.5674136470421194,0.10063497397598459,0.06534323096465502,mean_of_D_fold_youden
