threshold,nb_treat_all,nb_treat_none,nb_q_ir,nb_D
0.05,0.14780646445875092,0.0,0.14247788449686635,0.10232390560259413
0.1,0.10046237915090375,0.0,0.10702776276546769,0.061710602694209256
0.15000000000000002,0.047548401453898076,0.0,0.0678415123931035,0.038858923140504625
0.2,-0.011979823455233268,0.0,0.04368582237434697,0.026211493424608177
0.25,-0.07944514501891545,0.0,0.02419984387197502,0.01705398426709902
0.3,-0.15654836966312377,0.0,-0.0018529479887793854,0.011580924929871065
0.35000000000000003,-0.24551362886797948,0.0,-0.0180286296301429,0.006582320579798511
0.4,-0.34930643127364436,0.0,-0.045397225725094595,0.004383594547528974
0.45,-0.471970652298521,0.0,-0.0709454479946283,0.00339005257038044
0.5,-0.6191677175283732,0.0,-0.09998198522788687,0.0037831021437578815
0.55,-0.7990752416981927,0.0,-0.1227206309173523,0.00010008206729518162
0.6000000000000001,-1.023959646910467,0.0,-0.1619528012970637,-0.0009908124662223032
0.6500000000000001,-1.3130967393262483,0.0,-0.18125434284684885,0.0002058831098643743
0.7000000000000001,-1.6986128625472892,0.0,-0.24464060529634313,0.0005404431633939831
0.7500000000000001,-2.238335435056748,0.0,-0.25941271842911207,0.0001801477211313277
0.8,-3.047919293820934,0.0,-0.2695009908124663,0.0
