model,threshold,n,prevalence,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece,threshold_note
q_ir,0.5,5551,0.1904161412358133,0.2101082129646034,0.7096018735362998,0.6712356725818382,0.3494302767227347,0.609271523178808,0.4441379310344827,0.0,0.8095838587641866,0.7159382908947449,0.4157642613672707,0.6913666194932482,3295,1199,413,644,0.7331998219848687,0.3813890483416345,0.0522912504753773,0.2014933562177905,
D,0.5,5551,0.1904161412358133,0.1577108695730835,0.8133669609079445,0.5146368815521505,0.723404255319149,0.032166508987701,0.0615942028985507,0.0,0.8095838587641866,0.6515842209880176,0.3382789919456404,0.558970122411795,4481,13,1023,34,0.9971072541166,1.061559723278556,0.1087753315229197,0.1159937523438479,
q_ir,0.2444144625225446,5551,0.1904161412358133,0.2101082129646034,0.6135831381733021,0.6524534552324365,0.2907692307692308,0.7152317880794702,0.4134536505332239,0.0,0.8095838587641866,0.7159382908947449,0.4157642613672707,0.6913666194932482,2650,1844,301,756,0.5896751223854028,0.3813890483416345,0.0522912504753773,0.2014933562177905,mean_of_D_fold_youden_for_paired_op_point
D,0.24441446252254467,5551,0.19041614123581338,0.15771086957308353,0.8099441542064493,0.5566597995266683,0.5032258064516129,0.14758751182592242,0.2282370153621068,0.0,0.8095838587641866,0.6515842209880176,0.3382789919456404,0.558970122411795,4340,154,901,156,0.9657320872274143,1.061559723278556,0.10877533152291974,0.11599375234384793,mean_of_D_fold_youden
