split,threshold,tn,fp,fn,tp,accuracy,balanced_accuracy,threshold_note
oof@0.5,0.5,173,63,61,130,0.7096018735362998,0.7068395598544681,
oof@youden,0.5405933369797342,185,51,63,128,0.7330210772833724,0.7270276865737866,rowwise_validation_youden_per_test_fold
