fold,best_epoch,best_val_auroc,val_threshold_youden,val_n,val_prevalence,val_threshold,val_brier,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_majority_class,val_majority_accuracy,val_auroc,val_auprc,val_log_loss,val_tn,val_fp,val_fn,val_tp,val_specificity,val_calibration_slope,val_calibration_intercept,val_ece,test05_n,test05_prevalence,test05_threshold,test05_brier,test05_accuracy,test05_balanced_accuracy,test05_precision,test05_recall,test05_f1,test05_majority_class,test05_majority_accuracy,test05_auroc,test05_auprc,test05_log_loss,test05_tn,test05_fp,test05_fn,test05_tp,test05_specificity,test05_calibration_slope,test05_calibration_intercept,test05_ece,testThr_n,testThr_prevalence,testThr_threshold,testThr_brier,testThr_accuracy,testThr_balanced_accuracy,testThr_precision,testThr_recall,testThr_f1,testThr_majority_class,testThr_majority_accuracy,testThr_auroc,testThr_auprc,testThr_log_loss,testThr_tn,testThr_fp,testThr_fn,testThr_tp,testThr_specificity,testThr_calibration_slope,testThr_calibration_intercept,testThr_ece
1,5,0.8395585738539898,0.792820394039154,69,0.4492753623188406,0.792820394039154,0.1879675099491001,0.8115942028985508,0.8022071307300509,0.8461538461538461,0.7096774193548387,0.7719298245614035,0.0,0.5507246376811594,0.8395585738539898,0.8429273669967985,0.5561660368871549,34,4,9,22,0.8947368421052632,1.0215775631397854,-0.1627584523316695,0.15705481922065,86,0.4418604651162791,0.5,0.2164629057579126,0.6976744186046512,0.7264254385964912,0.5967741935483871,0.9736842105263158,0.74,0.0,0.5581395348837209,0.8300438596491228,0.7990739781139724,0.6350800044144934,23,25,1,37,0.4791666666666667,1.0309424575222792,-0.2317436293696264,0.2115262390309295,86,0.4418604651162791,0.792820394039154,0.2164629057579126,0.7325581395348837,0.7275219298245614,0.7027027027027027,0.6842105263157895,0.6933333333333334,0.0,0.5581395348837209,0.8300438596491228,0.7990739781139724,0.6350800044144934,37,11,12,26,0.7708333333333334,1.0309424575222792,-0.2317436293696264,0.2115262390309295
2,6,0.8268251273344652,0.323645681142807,69,0.4492753623188406,0.323645681142807,0.1787228101790785,0.782608695652174,0.7907470288624787,0.7105263157894737,0.8709677419354839,0.782608695652174,0.0,0.5507246376811594,0.8268251273344652,0.7786381721330554,0.557037365471097,27,11,4,27,0.7105263157894737,0.7762782091417486,0.0777692210112183,0.1545751928621768,86,0.4418604651162791,0.5,0.1542683048878914,0.7906976744186046,0.7850877192982456,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.0,0.5581395348837209,0.8530701754385964,0.8421011954518146,0.4932290106351443,40,8,10,28,0.8333333333333334,0.8266770967253607,0.0912062948197295,0.0877293049639394,86,0.4418604651162791,0.323645681142807,0.1542683048878914,0.8023255813953488,0.8037280701754386,0.7560975609756098,0.8157894736842105,0.7848101265822784,0.0,0.5581395348837209,0.8530701754385964,0.8421011954518146,0.4932290106351443,38,10,7,31,0.7916666666666666,0.8266770967253607,0.0912062948197295,0.0877293049639394
3,4,0.7733446519524618,0.2484176158905029,69,0.4492753623188406,0.2484176158905029,0.2125625019142883,0.7246376811594203,0.7351443123938879,0.65,0.8387096774193549,0.7323943661971831,0.0,0.5507246376811594,0.7733446519524618,0.6830875924521009,0.6389174216861268,24,14,5,26,0.631578947368421,0.8291440597705625,0.1627679733018602,0.1680965424933727,85,0.4470588235294118,0.5,0.1938190364130799,0.6823529411764706,0.6548152295632699,0.7894736842105263,0.3947368421052631,0.5263157894736842,0.0,0.5529411764705883,0.8387458006718925,0.7989423692583747,0.5622377093694129,43,4,23,15,0.9148936170212766,0.9450689502270024,0.1419132944014824,0.1494638314580215,85,0.4470588235294118,0.2484176158905029,0.1938190364130799,0.7647058823529411,0.7620380739081747,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.0,0.5529411764705883,0.8387458006718925,0.7989423692583747,0.5622377093694129,37,10,10,28,0.7872340425531915,0.9450689502270024,0.1419132944014824,0.1494638314580215
4,5,0.8140916808149405,0.57064288854599,69,0.4492753623188406,0.57064288854599,0.1796759957696737,0.7971014492753623,0.797962648556876,0.7575757575757576,0.8064516129032258,0.78125,0.0,0.5507246376811594,0.8140916808149405,0.8191898823633856,0.5674944979241439,30,8,6,25,0.7894736842105263,0.8253949921890019,0.0593243866176987,0.1515269664089209,85,0.4588235294117647,0.5,0.2045904872936256,0.6941176470588235,0.6920289855072463,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5411764705882353,0.7725752508361204,0.7851618440076046,0.6377318387602191,33,13,13,26,0.717391304347826,0.686155527030684,0.1535668758638544,0.1388308385277495,85,0.4588235294117647,0.57064288854599,0.2045904872936256,0.6941176470588235,0.6881270903010034,0.6857142857142857,0.6153846153846154,0.6486486486486487,0.0,0.5411764705882353,0.7725752508361204,0.7851618440076046,0.6377318387602191,35,11,15,24,0.7608695652173914,0.686155527030684,0.1535668758638544,0.1388308385277495
5,14,0.8505942275042445,0.7670250535011292,69,0.4492753623188406,0.7670250535011292,0.17587142947784898,0.8115942028985508,0.8081494057724957,0.8,0.7741935483870968,0.7868852459016393,0.0,0.5507246376811594,0.8505942275042445,0.7962821021802156,0.724215473967996,32,6,7,24,0.8421052631578947,0.689303658024941,0.11552597539967513,0.164687845692295,85,0.4470588235294118,0.5,0.2819825094738416,0.6823529411764706,0.677491601343785,0.6486486486486487,0.631578947368421,0.64,0.0,0.5529411764705883,0.7178051511758118,0.6816972630166739,1.1315477604509334,34,13,14,24,0.723404255319149,0.4027485492157384,0.277765255679206,0.2742999927707441,85,0.4470588235294118,0.7670250535011292,0.2819825094738416,0.6705882352941176,0.6542553191489362,0.6785714285714286,0.5,0.5757575757575758,0.0,0.5529411764705883,0.7178051511758118,0.6816972630166739,1.1315477604509334,38,9,19,19,0.8085106382978723,0.4027485492157384,0.277765255679206,0.2742999927707441
