fold,run,threshold,n,prevalence,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece
1,weighted,0.486357569694519,1118,0.163685152057245,0.1326235879741095,0.8363148479427549,0.5615294702083516,0.5,0.1530054644808743,0.2343096234309623,0.0,0.8363148479427549,0.6599164255866281,0.32882215765467,0.4339420203581133,907,28,155,28,0.9700534759358288,0.6245464129778499,0.0423499399922398,0.0625998552710364
2,weighted,0.4492360949516296,1118,0.1735241502683363,0.1321360934187664,0.8336314847942755,0.6102110947471772,0.5416666666666666,0.268041237113402,0.3586206896551724,0.0,0.8264758497316637,0.6947912482706298,0.4039261624575798,0.4354946046346023,880,44,142,52,0.9523809523809524,0.6932996744502916,0.0551528051087855,0.0657073105681247
3,weighted,0.4455930888652801,1105,0.1746606334841628,0.1517999306363969,0.8135746606334842,0.5051273747841105,0.24,0.0310880829015544,0.055045871559633,0.0,0.8253393665158371,0.575180665394055,0.2189875670500474,0.5097243143682628,893,19,187,6,0.9791666666666666,0.3043823174492879,0.1379757325734865,0.082717236729836
4,weighted,0.5368138551712036,1105,0.2398190045248869,0.1720594742419676,0.7692307692307693,0.5408243486073675,0.6136363636363636,0.1018867924528302,0.174757281553398,0.0,0.7601809954751131,0.6762488769092543,0.4208010694301811,0.5431191476093807,823,17,238,27,0.9797619047619048,0.8041279345058095,0.0986887523933038,0.0679006839921167
5,weighted,0.372329980134964,1105,0.20090497737556562,0.17193458267467568,0.7692307692307693,0.5538117392590779,0.36134453781512604,0.19369369369369369,0.25219941348973607,0.0,0.7990950226244344,0.586700233642476,0.28126468796177173,0.6142252270707086,807,76,179,43,0.9139297848244621,0.38725475587344615,0.15074407947261648,0.11202981287942214
