rater_id,n_train,rater-accuracy,rater-confidence
0,342,0.8157894736842105,4.37719298245614
1,342,0.804093567251462,4.0321637426900585
2,342,0.7807017543859649,3.8625730994152048
3,342,0.8070175438596492,3.97953216374269
4,342,0.8654970760233918,4.60233918128655
5,342,0.7923976608187134,3.9444444444444446
6,342,0.7807017543859649,3.719298245614035
7,342,0.8304093567251463,3.5555555555555554
8,342,0.7894736842105263,2.7777777777777777
9,342,0.8216374269005848,4.283625730994152
10,342,0.7690058479532164,3.508771929824561
11,342,0.7894736842105263,3.780701754385965
12,342,0.827485380116959,3.6608187134502925
