rater_id,n_train,rater-accuracy,rater-confidence
0,341,0.8005865102639296,4.357771260997067
1,341,0.8123167155425219,4.026392961876833
2,341,0.7976539589442815,3.8885630498533725
3,341,0.8093841642228738,3.93841642228739
4,341,0.8504398826979472,4.580645161290323
5,341,0.7741935483870968,3.961876832844575
6,341,0.7888563049853372,3.724340175953079
7,341,0.8328445747800587,3.5073313782991202
8,341,0.7888563049853372,2.809384164222874
9,341,0.8035190615835777,4.290322580645161
10,341,0.7683284457478006,3.5102639296187683
11,341,0.782991202346041,3.8269794721407626
12,341,0.8269794721407624,3.69208211143695
