rater_id,n_train,rater-accuracy,rater-confidence
0,341,0.8123167155425219,4.3695014662756595
1,341,0.8005865102639296,4.011730205278592
2,341,0.7947214076246334,3.8504398826979473
3,341,0.8064516129032258,3.9794721407624634
4,341,0.8563049853372434,4.589442815249267
5,341,0.7917888563049853,3.9882697947214076
6,341,0.7741935483870968,3.727272727272727
7,341,0.841642228739003,3.56891495601173
8,341,0.8035190615835777,2.803519061583578
9,341,0.81524926686217,4.263929618768328
10,341,0.7800586510263929,3.4926686217008798
11,341,0.7800586510263929,3.7624633431085046
12,341,0.8123167155425219,3.662756598240469
