fold,run,threshold,n,prevalence,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece
1,weighted,0.4778327345848083,1118,0.163685152057245,0.1397329303088209,0.817531305903399,0.67775342625873,0.4455958549222797,0.4699453551912568,0.4574468085106383,0.0,0.8363148479427549,0.7397329125390841,0.3903131948398174,0.4556343706694142,828,107,97,86,0.8855614973262033,0.5155456142393998,0.0431757819449228,0.1047322276104175
2,weighted,0.4574896991252899,1118,0.1735241502683363,0.1420912483849177,0.8094812164579607,0.6281798098808409,0.4387096774193548,0.3505154639175257,0.3896848137535816,0.0,0.8264758497316637,0.7032149551479449,0.3818274698360035,0.4844670800308927,837,87,126,68,0.905844155844156,0.5150786126690772,0.0755681202477096,0.0917926665947586
3,weighted,0.4019046127796173,1105,0.1746606334841628,0.1293882707888426,0.8144796380090498,0.6180091582583401,0.4552238805970149,0.3160621761658031,0.3730886850152905,0.0,0.8253393665158371,0.7413445368602855,0.4298178623739515,0.4264228423375316,839,73,132,61,0.9199561403508772,0.680688576893649,0.0654653597783664,0.0659256186574904
4,weighted,0.4765211641788482,1105,0.2398190045248869,0.1869830869922534,0.7457013574660634,0.6157569631626235,0.4619047619047619,0.3660377358490566,0.4084210526315789,0.0,0.7601809954751131,0.6954335130278527,0.4241779235441895,0.6913374874047096,727,113,168,97,0.8654761904761905,0.4713270583420184,0.1313081451572778,0.1249940365531831
5,weighted,0.4379396438598633,1105,0.20090497737556562,0.18035789301213886,0.7583710407239819,0.6245727607562261,0.3991031390134529,0.4009009009009009,0.4,0.0,0.7990950226244344,0.6753644924652852,0.38262346764594146,0.7031596993338757,749,134,133,89,0.8482446206115515,0.39409293877858154,0.11802088891397251,0.1663117254054916
