rater_id,n_train,rater-accuracy,rater-confidence
0,342,0.804093567251462,4.342105263157895
1,342,0.8187134502923976,4.038011695906433
2,342,0.7923976608187134,3.7982456140350878
3,342,0.8157894736842105,3.93859649122807
4,342,0.8625730994152047,4.564327485380117
5,342,0.7865497076023392,3.973684210526316
6,342,0.7953216374269005,3.719298245614035
7,342,0.847953216374269,3.538011695906433
8,342,0.804093567251462,2.763157894736842
9,342,0.8187134502923976,4.271929824561403
10,342,0.7865497076023392,3.4941520467836256
11,342,0.7923976608187134,3.7719298245614037
12,342,0.8333333333333334,3.6666666666666665
