rater_id,n_train,rater-accuracy,rater-confidence
0,342,0.8187134502923976,4.368421052631579
1,342,0.827485380116959,4.02046783625731
2,342,0.804093567251462,3.827485380116959
3,342,0.8362573099415205,3.9415204678362574
4,342,0.8742690058479532,4.578947368421052
5,342,0.7894736842105263,3.9444444444444446
6,342,0.8187134502923976,3.7865497076023393
7,342,0.8508771929824561,3.5350877192982457
8,342,0.8070175438596492,2.804093567251462
9,342,0.8391812865497076,4.318713450292398
10,342,0.7719298245614035,3.4883040935672516
11,342,0.8011695906432749,3.7690058479532165
12,342,0.8450292397660819,3.6783625730994154
