fold,run,threshold,n,prevalence,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece
1,unweighted,0.2083869874477386,1118,0.163685152057245,0.1220348987473162,0.8050089445438283,0.6922416060313843,0.4229074889867841,0.5245901639344263,0.4682926829268293,0.0,0.8363148479427549,0.7497355425031413,0.4142561021284486,0.421693848994856,804,131,87,96,0.8598930481283422,0.6751970099226091,0.0665406687562956,0.0574278245946185
2,unweighted,0.2051610797643661,1118,0.1735241502683363,0.1342697463837688,0.8121645796064401,0.639984156736734,0.4506172839506173,0.3762886597938144,0.4101123595505618,0.0,0.8264758497316637,0.7055217119650109,0.3797130167046728,0.5000425065261793,835,89,121,73,0.9036796536796536,0.735507819667619,0.0943837652040674,0.0766736335783975
3,unweighted,0.2180886268615722,1105,0.1746606334841628,0.1292692481800638,0.8271493212669683,0.6358967366603037,0.5076923076923077,0.3419689119170984,0.4086687306501548,0.0,0.8253393665158371,0.7568061994364148,0.4484775344255411,0.4547219241517514,848,64,127,66,0.9298245614035088,0.9018049165019923,0.0869228232012172,0.0853775917962762
4,unweighted,0.3076381385326385,1105,0.2398190045248869,0.1875795850860121,0.7628959276018099,0.6089847259658581,0.50920245398773,0.3132075471698113,0.3878504672897196,0.0,0.7601809954751131,0.7023607367475292,0.4377007621012542,0.7253890422119679,760,80,182,83,0.9047619047619048,0.5331203155742147,0.1621812248209806,0.1500682963635161
5,unweighted,0.1712287962436676,1105,0.20090497737556562,0.1630214243203744,0.7266968325791855,0.630043973758583,0.3611111111111111,0.46846846846846846,0.40784313725490196,0.0,0.7990950226244344,0.6809071245651087,0.3954392127822287,0.7090187826488014,699,184,118,104,0.7916194790486977,0.49545242424196756,0.12262614952716805,0.13718341308873994
