fold,run,threshold,n,prevalence,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece
1,unweighted,0.2802690267562866,1118,0.163685152057245,0.1309721696804352,0.8470483005366727,0.5547616960345986,0.6875,0.1202185792349726,0.2046511627906976,0.0,0.8363148479427549,0.6903217322696591,0.3843877663301506,0.4436657976371938,925,10,161,22,0.9893048128342246,1.5700488795215588,0.0256069558315479,0.0757399944085394
2,unweighted,0.2061617523431778,1118,0.1735241502683363,0.1339245738006133,0.8318425760286225,0.6254183960369528,0.5263157894736842,0.3092783505154639,0.3896103896103896,0.0,0.8264758497316637,0.7158393582362654,0.4380732518627478,0.4675172845870837,870,54,134,60,0.9415584415584416,1.386900612457027,0.0599670689813086,0.0916458381044599
3,unweighted,0.1947115957736969,1105,0.1746606334841628,0.1554013842722996,0.8153846153846154,0.5143935778565585,0.3225806451612903,0.0518134715025906,0.0892857142857142,0.0,0.8253393665158371,0.5897418416507589,0.2328036420333872,0.55819143535212,891,21,183,10,0.9769736842105264,0.8870364156889383,0.1217779485850804,0.1173877715103631
4,unweighted,0.2913484275341034,1105,0.2398190045248869,0.1934625915604185,0.7719457013574661,0.545193171608266,0.6444444444444445,0.1094339622641509,0.1870967741935484,0.0,0.7601809954751131,0.6942026055705302,0.4455157925902768,0.6552529492387671,824,16,236,29,0.9809523809523808,1.4842107756285152,0.1249209208793187,0.1644079897578013
5,unweighted,0.24960972368717194,1105,0.20090497737556562,0.1753880402314812,0.7701357466063349,0.5375179823084693,0.336734693877551,0.14864864864864866,0.20625,0.0,0.7990950226244344,0.603251609480375,0.28736286851997983,0.6726555817426872,818,65,189,33,0.9263873159682899,0.5126163794821575,0.1611825081589019,0.1454576996563854
