model,AUROC,AUPRC,Brier,BSS,log_loss,cal_slope,cal_intercept,ECE,mean_p
q_ir,0.7159382908947449,0.4157642613672707,0.2101082129646034,-0.3629421676319644,0.6913666194932482,0.38138904834163456,0.05229125047537733,0.2014933562177905,0.36216270855451715
D weighted,0.6327296902545136,0.3247056178016724,0.1520183174239053,0.013878743024639095,0.5069610967320546,0.5674136470421194,0.10063497397598459,0.06534323096465502,0.1582287767096379
D unweighted,0.6515842209880176,0.3382789919456404,0.15771086957308353,-0.023048035115471155,0.558970122411795,1.061559723278556,0.10877533152291974,0.11599375234384793,0.07690646877667087
