metric,D_weighted,D_unweighted
AUROC,0.6327296902545136,0.6515842209880176
AUPRC,0.3247056178016724,0.3382789919456404
Brier,0.1520183174280931,0.1577108695663398
log_loss,0.5069610967645982,0.5589701222708237
precision,0.4945054945054945,0.723404255319149
recall,0.1277199621570482,0.032166508987701
specificity,0.9692923898531376,0.9971072541166
balanced_accuracy,0.5485061760050929,0.5146368815521505
F1,0.2030075187969924,0.0615942028985507
