fold,n_cases,n_decisions,n_target_0,n_target_1,target_prevalence,mean_error_rating_mean,mean_error_rating_std,n_error_below_median,n_error_above_median,error_above_median_prevalence,n_stratum_0_0,n_stratum_0_1,n_stratum_1_0,n_stratum_1_1,error_median_threshold
1,86,1118,48,38,0.4418604651162791,0.16368515205724507,0.23367182079404838,32,54,0.627906976744186,17,31,15,23,0.07692307692307693
2,86,1118,48,38,0.4418604651162791,0.17352415026833629,0.26130317905560235,33,53,0.6162790697674418,17,31,16,22,0.07692307692307693
3,85,1105,47,38,0.4470588235294118,0.1746606334841629,0.23223913024210588,32,53,0.6235294117647059,16,31,16,22,0.07692307692307693
4,85,1105,46,39,0.4588235294117647,0.23981900452488691,0.30846323437677853,32,53,0.6235294117647059,16,30,16,23,0.07692307692307693
5,85,1105,47,38,0.4470588235294118,0.20090497737556565,0.27598991028815606,32,53,0.6235294117647059,17,30,15,23,0.07692307692307693
overall,427,5551,236,191,0.44730679156908665,0.1904161412358134,0.2652311661844785,161,266,0.6229508196721312,83,153,78,113,0.07692307692307693
