group_col,group,n,prevalence,threshold,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece
rater_id,0,427,0.18969555035128804,0.5,0.1476251368676622,0.8149882903981265,0.5454399486191394,0.5625,0.1111111111111111,0.18556701030927836,0.0,0.810304449648712,0.664793406122886,0.34896304030085523,0.4730558484750114,339,7,72,9,0.9797687861271677,0.6674588920707669,0.0759927311347212,0.05244908276814988
rater_id,1,427,0.1873536299765808,0.5,0.14276524019468442,0.819672131147541,0.5908861671469741,0.5454545454545454,0.225,0.3185840707964602,0.0,0.8126463700234192,0.6642831412103747,0.41112825413104476,0.45903923119534173,332,15,62,18,0.9567723342939481,0.6943277979425961,0.039893573162364915,0.052995441405152235
rater_id,2,427,0.20608899297423888,0.5,0.15421358128664517,0.8009367681498829,0.596976401179941,0.5365853658536586,0.25,0.34108527131782945,0.0,0.7939110070257611,0.6735720032180209,0.4403702431916773,0.5124050018105966,320,19,66,22,0.943952802359882,0.6237971979424969,0.07455632878023963,0.0942447705737705
rater_id,3,427,0.18501170960187355,0.5,0.15577766489429012,0.8009367681498829,0.5990106212716426,0.44,0.27848101265822783,0.34108527131782945,0.0,0.8149882903981265,0.6629019351083951,0.35971123257826065,0.4872536392519528,320,28,57,22,0.9195402298850575,0.5738011060850932,0.024510906847994368,0.11340626167681499
rater_id,4,427,0.13817330210772832,0.5,0.11957662159770666,0.8618266978922716,0.5,0.0,0.0,0.0,0.0,0.8618266978922716,0.6645633750921149,0.24595043755214144,0.4176988041231647,368,0,59,0,1.0,0.898534050844589,0.07419554519630986,0.07647855765971898
rater_id,5,427,0.21311475409836064,0.5,0.1677067565807176,0.7915690866510539,0.510989010989011,1.0,0.02197802197802198,0.043010752688172046,0.0,0.7868852459016393,0.6466182626896912,0.4197446221915825,0.5907830210922775,336,0,89,2,1.0,1.2221579805641405,0.08675128115822253,0.1097210235416862
rater_id,6,427,0.20843091334894615,0.5,0.1667346249541023,0.7822014051522248,0.5271923409347783,0.4,0.0898876404494382,0.14678899082568808,0.0,0.7915690866510539,0.6832989827804002,0.3618739114493417,0.5391130067494573,326,12,81,8,0.9644970414201184,0.6544254499103965,0.13102082019394273,0.11678810597540983
rater_id,7,427,0.1592505854800937,0.5,0.12260756003686722,0.8384074941451991,0.5343683434376536,0.46153846153846156,0.08823529411764706,0.14814814814814814,0.0,0.8407494145199064,0.6848271341962969,0.33996676407384724,0.40571392524783806,352,7,62,6,0.9805013927576601,0.8503119347160015,0.029957570359063518,0.04822452726697892
rater_id,8,427,0.20140515222482436,0.5,0.1505011398756312,0.8032786885245902,0.585538430062061,0.5277777777777778,0.22093023255813954,0.3114754098360656,0.0,0.7985948477751756,0.6767885153106459,0.40431797141416365,0.49023600568407144,324,17,67,19,0.9501466275659824,0.6831630290478755,0.0795836860744676,0.06592892949648714
rater_id,9,427,0.18032786885245902,0.5,0.15033665404409657,0.810304449648712,0.6006493506493507,0.45652173913043476,0.2727272727272727,0.34146341463414637,0.0,0.819672131147541,0.6522448979591836,0.36266505223881224,0.4750818735490998,325,25,56,21,0.9285714285714286,0.5653469137683766,0.03406104517915967,0.09289029669320842
rater_id,10,427,0.22482435597189696,0.5,0.20501892818667383,0.775175644028103,0.5,0.0,0.0,0.0,0.0,0.775175644028103,0.6398697129909365,0.38763501071185597,0.7609739119195212,331,0,96,0,1.0,3.547633250036804,0.09043228206257009,0.1869421780697892
rater_id,11,427,0.2107728337236534,0.5,0.16562521092155574,0.7985948477751756,0.5222222222222223,1.0,0.044444444444444446,0.0851063829787234,0.0,0.7892271662763466,0.6542037586547972,0.4081280904340965,0.5692302645318318,337,0,86,4,1.0,0.946516979380713,0.10989436758409933,0.1085391382822014
rater_id,12,427,0.17096018735362997,0.5,0.127749007070136,0.819672131147541,0.516097825245724,0.3333333333333333,0.0547945205479452,0.09411764705882353,0.0,0.8290398126463701,0.7353726491757604,0.36818401152646163,0.409909723886545,346,8,69,4,0.9774011299435028,0.9982281663713576,0.014005596666555209,0.044552707857142854
