group_col,group,n,prevalence,threshold,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece
case-difficulty,1,193,0.06735751295336788,0.5,0.06772808765112115,0.927461139896373,0.5329059829059829,0.3333333333333333,0.07692307692307693,0.125,0.0,0.9326424870466321,0.6647435897435897,0.18559232739967452,0.25865449161997517,178,2,12,1,0.9888888888888889,0.423255954987191,0.01633975943334868,0.05317889750673577
case-difficulty,2,1518,0.13570487483530963,0.5,0.12314595279705473,0.8530961791831357,0.5139822105138527,0.2702702702702703,0.04854368932038835,0.0823045267489712,0.0,0.8642951251646904,0.588161185768411,0.1925667292600194,0.4329567988840738,1285,27,196,10,0.979420731707317,0.3177103258300914,0.09548920568188302,0.06478131363675887
case-difficulty,3,3038,0.20934825543120475,0.5,0.16192786775134227,0.7965766951942067,0.5528771882969643,0.5592105263157895,0.13364779874213836,0.21573604060913706,0.0,0.7906517445687953,0.6293271723249494,0.3612403948058253,0.5363494865184804,2335,67,551,85,0.9721065778517902,0.6136266120809043,0.10814062312861387,0.0701636407033575
case-difficulty,4,802,0.2518703241895262,0.5,0.1894136415572632,0.7443890274314214,0.5615346534653466,0.48148148148148145,0.19306930693069307,0.2756183745583039,0.0,0.7481296758104738,0.6407301980198019,0.371740719623537,0.5954645515309384,558,42,163,39,0.93,0.5233157437124454,0.14626216599541594,0.09760446477082294
