group_col,group,n,prevalence,threshold,brier,accuracy,balanced_accuracy,precision,recall,f1,majority_class,majority_accuracy,auroc,auprc,log_loss,tn,fp,fn,tp,specificity,calibration_slope,calibration_intercept,ece
rating-confidence,1,45,0.37777777777777777,0.5,0.23973741454071518,0.6,0.48214285714285715,0.0,0.0,0.0,0.0,0.6222222222222222,0.6680672268907563,0.5724103868142227,0.7105734162345864,27,1,17,0,0.9642857142857143,0.9605634785278873,0.16124563676607215,0.20745328502222224
rating-confidence,2,267,0.36329588014981273,0.5,0.24260748135252788,0.6479400749063671,0.5486658580958157,0.5454545454545454,0.18556701030927836,0.27692307692307694,0.0,0.6367041198501873,0.6556397816858702,0.5176954179166782,0.7306281839652192,155,15,79,18,0.9117647058823529,0.6354033675054223,0.2248872907312492,0.16034434728501873
rating-confidence,3,1402,0.24037089871611983,0.5,0.17810295555017788,0.7681883024251069,0.5573577966314206,0.5666666666666667,0.1513353115727003,0.2388758782201405,0.0,0.7596291012838802,0.6458366420083309,0.4030653802331907,0.5820920573452479,1026,39,286,51,0.9633802816901409,0.6644808086224003,0.12586728410060866,0.0785589227186876
rating-confidence,4,2602,0.18024596464258263,0.5,0.1496042642976508,0.8166794773251345,0.5505209536004926,0.4701492537313433,0.13432835820895522,0.208955223880597,0.0,0.8197540353574174,0.6134127433957398,0.2943973883939226,0.502175688026763,2062,71,406,63,0.96671354899203,0.46937267306497626,0.10480434936513382,0.07129580893474252
rating-confidence,5,1235,0.11093117408906883,0.5,0.10471146515044893,0.8817813765182186,0.5054844242351721,0.2,0.021897810218978103,0.039473684210526314,0.0,0.8890688259109312,0.581319053886961,0.1508329371883875,0.37597839228072083,1086,12,134,3,0.9890710382513661,0.267568317092844,0.07838645392899339,0.05591241028817813
